alias,channels_closed
0275f4a19f6215b77911,5
AltruisM,6441
0367640e848e1a4816d1,5
BTC-FREEDOM🌍,1302
PeripateticSplendor,92
LightningText2,29
03d972b16d1061813cba,5
notabug,0
0268fe7c58fd37fd67bd,15
winterstorm,182
0281b244a432dd8170a8,133
nelson,1750
Ron Paul,1346
H0d0rHodl,263
eggman,5
Nodoguro,39
LightNode,2514
HaloPortal,3
03bb713b31cfd1c5db02,756
Envision,538
030ec1a80a747ea01ea4,377
03120e72271aae5504c0,6965
Nodi,0
TruffleShuffle,199
0352de088a10ca6f7a31,0
BeerselLightningNode,10619
ConTaThundroid,878
claynode,170
OracleNight,137
bootstrapping,3838
MeFaltaUnBracito,1432
0365f057d4e318222eef,5
0372a24b52d971aef3dd,3
dollarLOL,280
0366d2967d5094e64434,59
02ef598754cf83f3368e,3
TWronald✅,1102
WBD,117
Patsak,989
Lightning-node,769
PiNodeZA,10
📚Bitcoin.University📚,445
MyHash.io,1463
02e351dd3323dc3dc164,238
02c2e61f7a93a4f178fe,5
RoutingHub⚡,7791
02fdc523322349e7c366,429
027160b37247445a5e28,42
faraday,2988
LNBIG.com [lnd-38],18885
Woggly,2972
ADCT,11
hodl_fast,580
FATF,3
02efe2a9d592662dcb41,290
mcmichael,132
mattytay,8
Matt Node on LND,0
02e01e64c4d57bc3277b,63
02a2b818848c448c3cbd,1291
burning_chrome,3
TMarvelous,1076
03e05a1024fa2919bd42,3
Bananas,45
02d9a0914412702b34e9,0
020289fedf16cc2ebd80,89
0384cdc2ba2a68b7cee0,3
BEST NODE,2601
Rob-in-node,2603
020ca7f3278adf705ed5,1066
0294e840b2d5a0cb4ae9,22
kulovy_blesk,59
02484712994e3a3c44f0,0
JRN0DE,529
t.me/MolnExchange,2239
TrstCore,2142
V.World,2529
destevie,241
03c095a8407684b2d053,9
lightening,53
SupersonicHoneyBadger,59
023846b656d6afcb8722,987
BeefTorpedo,144
03635d61aef923e36d41,12
DiRT01,0
Towed Toad Node,1110
02538bfef94d290d8fe0,31
LN6102,14
Nana&PapasNode2,3159
Raiden-LND,712
hpautomation,117
pay.p2sh.co,116
W3atherL1ght,841
Kwikbit (Tank),90
CrystalHands,726
EhDagg,1836
TheLion,4
mainnet.demo.btcpayserver.org,767
BambergCityNode2,3
02f17f27035214997e89,632
02108182a754e0d0e42e,251
--[SURFHOUSE]--,1075
dxblitz,5
MidasMulligan,10942
03c2cc8a1f363c3d96c4,28
Ares,3
020d65537a5f7a47a2e9,0
026865dadc6e1d5a9140,3
LightningBrainz,655
Gremlin,3
take5,49
Casa2,0
O_G,508
SpiderCat2,2024
02aef0f3d25af1224162,24
03f6bdee3e58091eb049,3
Australian Slacklining,596
ln.kpitt,927
Bitnob,122
MangoTree,12873
Pecunia non olet,3
LIBERTYAF.io,263
025ca2d76fc19ab56aa6,0
DATPOSTMIL-PLEBNET.org,487
SpicyTomato,11
Smart_Cabin,4821
BitBargain.co.uk,671
rbvdr21,2394
0309e4121600363eb746,0
LibertyBull,12335
lio17,328
Deadmau5,6
The Boogie Down,19
0234a35fd2e78c01a9ec,89
Vakarian,1122
021b978fa8627a75f006,525
bv__,6
LiberTree,260
02401f4fd6fa82118be3,3
BitcoinMonke,4
0226509b3239b75e849b,195
JUNIORROUTE,113
Fran,1340
Hydroxychloroquine,1062
DeepMax_PL,141
029c36c3b4a6aced04b2,8
Daz Lee,7
ELCAPITAN.NODL,602
0394c5c03964aa95bc3c,20
02c8277f6893096f0f5f,39
e5173f41f469,0
03b49fe14027c64c4e5a,5
GREENBEAM,785
lightningnetwork,17
Sat Super-Highway,1362
Infinity.Belgium,3540
0320d19641d58ebca30a,67
South Korea,11497
FatBear.io,10417
03b740a9b6c9f42ecda8,6
029e83abf72d5be7ebad,3
cloudnalu,166
034e3a3287e54f8fa82b,445
0304667abd49dd6779bf,601
Folkaio,0
nodl-s007,1085
Apostle,7224
03432f30f166fe8a3acd,25
Maski.Guatemala@protonmail.com,7816
03977a81804ebf58db4a,2482
riverside,1005
fancyfinance,583
Gravity,737
03d85df94810002c2c9b,226
BLUENET,24
Black Cloud Lightning,666
02b1d3cc3dd5fb5cbe5f,53
breez,499
Antani,2515
Breakwater,3
Kurugi.House,2326
03b6c5f9332631b5cbcb,8
QRflash,13
gandules,479
0283eea6c8a1c2991d10,168
0386b0dec9e07db8d78d,63
Bitcoin & Brisket,4241
🌹🌹🌹,362
PepegaSoft™️ LND,0
HACKERS-INC,258
stijnbtc,628
Chad Capital,2031
JimeneyCricket,0
freeman [Zero Fee],795
0241159c135aec487538,4
Bitkoins.nl [c-lightning],1816
BERLIN1-EUROPE-GERMANY [LND],505
0357622f6a1fbeb55d10,7
mynodebtc.com [Mike],516
026b81f311d4f98eb53f,0
03df910db08883d2c5a6,31
PizzaFactory,502
gcpc,40
Tapudo,907
cotijebemagda.com [eshop],75
0297420a961d552739ce,61
Dakmak,3
BanMeIfYouCan,3
02865d1363cf0ac9bb3d,6
02ac523c8e17a47e5dc1,7
ThunderNode [lnd-1],14
02dc0b628023734e567c,0
ltnode_6a89e,21
allnd02,166
036abb021301cee47ba9,4
rbmw1,12
frightening,19
Pland,9
Somabase LND,2138
0213f90b9d980f2ac111,34
02276206c9c6167b7e52,0
0376d6fa59e4d3b92a04,125
CoolBeans,659
malarcl,600
0268338b189ed3d71fd1,312
023233e57c71a003a83e,677
$gipsy_Corn,6
Ansc01,298
Rosebud,93
serosig,3
033c18fb7bd022476f67,9
privatesig,4
BlockchainBuero [LND],16
ppz,88
rylo,333
039636f26a6e6287dde2,15
 NL-Node-FirmW4re,5
ytm.ltd,512
035d221109bf85443db7,9
⚡HODLon⚡,695
santas7372[LND],3
boostjar,879
03457c295a1fce1b2293,1614
ParosNode,5
BitcoinCoffeeShop[NodeNor],434
SurgeYourself,502
ln.bitalpha.com,618
023a0132c67f173231ef,533
037ccbb03805ef7bf9c9,1226
Satoshi's Vision,495
InglesideNode,43
linusthecat,5
DisPater,2144
Alien Market,301
zrze,33
HOPPINGWATCH,3841
02fbc5a30e6ef36abd24,106
ArcticDuck,1152
The Bitcoin Company,4244
03f648c04c518481f011,2015
Umeme,1955
02f8702a8128167cb581,10
026af85b4c2d687984a1,5
proppalightning,51
Arachnotron,254
Flukester,19
02d13231a7e7f3e96536,3
TheCollectiveUmbrel,5
03deedbfee762a68a44d,1400
028742b6b8eb7f28890c,48
Davjack,15
gameb_1,30948
Liberty21,291
036a320d0667dfedebae,8
BoxFish🐡,477
02ca4a983c89dfd34b7b,1154
Relight My Fire,2430
bit-node.com,344
ITS_THE_FINAL_COUNTDOWN,3821
02bf50a347cd7ec7ae99,0
kaisertroyer,5
WaZZa,1341
antinoderati,9599
BLUEWHISPER,1121
Dennis.Turk.Melb,703
LA_BANK,326
mustard,2792
02f1887e3080802341b5,3
WaysideRewlz,327
BitsforBuskers,504
02e0d304ea61db67dcee,1172
BTCnode,40
PantsOn,872
FWB-Podcast,641
RTCNODE,85
03358f5dbf0ec2528905,691
03e3f3d2b022fdfa2dbe,465
Defiant ☇,394
026c2d55ad19f304cac4,3
02bb9f58187359cd4481,6
blitzfrieden,18
029e1f9ef725520a281a,543
Happygardenercasa,1638
iampigman,4736
PIOPIOPIO,194
03c0d27a6d52571f23b3,3
99cb5e893373,0
DulyNoded,9
ln.a42.io,93
bkhmtv,786
Skin in the Game,3
02d9826f06b85be72936,3
0253baf8bd3534a8a2b7,4
YELLOWNET,4
Coherence [LND],4708
Scalprum,448
enlightened,455
wallet0,22
Gigawatt,1085
EricksUmbrelLND,8
cranium-lnd,538
02b3a52e44359deebb13,54
0243d1c24e3a76cbdd66,70
Blitzle,140
hal_9000,9
MacBech,153
marsbridge,124
GALIANO,1694
DeutscheBank,1328
031fa5faf6fd3b470730,588
KicomLND,7529
035f8eb867f7212f2456,19
Bolt,1051
lnd.firebo.lt,655
02baa1cfcd73423f8674,329
Serving Beer,641
033fa59458e70bb5ba64,1188
Bitcoin.Tree,1499
DerWohlan,6
032a150f26075013c4e5,0
038c8561e3d44c036197,18
0381aac99b2a726dcc3b,5
Jantjebijdehandje,414
ZH,392
Cyphreme,4260
0343b91cb3235a1fc65f,3
Supercon-🦆-tor-2,241
0209b6d3354f2891aba6,8
02eb803dfacf89715879,0
udo327,59
02324cf4d54620759ba4,487
0302453e77e1f8f0eeb4,345
bitcoiner,8
Mangiafuoco,249
035a2bab9508850f961d,28
Dirk,8
tsurubank,2256
02013b157ccf30123c86,733
cLNR,945
038061755c168830673b,5
DeVineMatRix,5
ThePilgrim,10
Bliksemz,5
TheN0de,277
02309e1f15f0f4d9e982,25
lightning.dutchpool.io #fnoufnou,54
senza,3963
DarkMoney,2624
purplebot,1625
fewsats,1666
chs [LND],620
Sindorf,210
derblitz,472
Citadel,129
Gregularway,1097
OrpheusLN,306
03f3766e1b7683b972fc,68
badgerbolt1,721
02c921ef88d90e8760b3,374
LightningPeachHub,0
0343a9f9af3bba9e51a9,2250
MyOwnBank,0
Progger,1129
bonzasteech,12
02653e3d3abed6f2d448,0
LNBIG.com [lnd-07],20436
NatashaOtomoski,1673
bitti,13
Dive,36
IRATEMONKEY-v0.10.2-419-g0c4cc78,720
BLUEEUROPA,26
OroCriptoBanco,709
SqurliNodl,1951
exodus,2909
Escapology,0
julia,0
LQwD-Germany,2488
03347bf6e61710468a2c,3
sovereignhominin-delta-variant,15
02d3f41e090bd5b52eed,6
Kava,4872
SoundMoney,1059
RapidLightning3,2055
024bd3064072ab4c79c8,3
FreedomLightning,8
casnl_lightning,5
jesterhodl,1317
nodl-s002,237
nodl-13a54719b2b0e0ab99e3579c,0
White_Rabbit_LND,106
023067b3d99d27b19f1a,533
024901b8e22a8189c6ad,0
btcsessions,0
blockjacc2 [mynodebtc],326
CoinPayments,13649
02a8a5851029e18cedd2,4
ThunderClay,3499
Innovative Ibis,3611
Electrum,7360
MusicLightning,136
03d571b89db17d508427,1585
TOBG-RaspiBolt01,1412
02b79c26c607b6845b2d,17
ln1-cherry,958
bfx-lnd1,29504
03aae9fe9aebf495ab56,30
0264a7277cc5a7eb4b14,9
anders.cash,387
037f2f4fe7950e8e64f7,3
Aussie_Lightning_Network,2347
onepiece,0
02538a62eecb2875bf1a,11
YELLOWWAFFLE,356
bitbox02-ln1,924
japan,22
034ea1b05606ff2a2fa5,677
renoblitz,973
ln02.bitpie.com,1267
mobius,3
beernode,730
Willem.van.Oranje,3
eJusCLN,484
LCHODL,360
02f3051c776e90effe8c,0
grandjury,0
Seneca,2082
Orald,79
Arctic Node,362
chungus,383
qecez.com,2889
03f57da433d006dd1344,2577
03bfc2441c7528adea86,515
ln.vanovcan.net,4269
blackrock,668
lndhub.ru,475
WalletOfSatoshi.com [7],1913
0370ab0b96d877cb9612,554
What The Crap Butthole?,1444
KodyNeutrino,0
02ef8e70ec71d50b876c,1548
🐸ThePepeBank🐸,670
BIDEN BUCKS TO SATS,10
cryptomax,12
0316f33e51f3b25eb0ef,5
BoehmBawerk,339
cryptotec.com,3
SlantTechZap,734
LightningArgentina,3
Jenova ⚡,0
⚡McQueen[LND]⚡,606
Windguru,706
RFnodeC,3054
Crizzo,5464
blindedbythelight,0
spires.shelved.classics,900
022364624ccb07a050b6,387
0236e4eb92072b87ea65,4
02186aa63cadb9be3410,3
0341f67f6fd7aacaccb9,5
Segwheat,828
LightningNetwork.Plus,15187
~V~0x3xAmsterdamxNL,298
b=mc^2,0
cnode,5
BETA_LN_Oracle_Network,1540
03ec454fb3fa7f5be16a,0
Dirty_Jersey_Whore,7
ffolight,28
EnduraUmb-I,4748
032988ab2cf6b5bedaaf,3
Russhackelford,29
02e51ac21dec2672a59f,149
PEEVEDPLOW,31
Finnish Lightning Network,1120
02fe834b5ae61ba588d8,641
BankRakjatBTC,18
LightningSats,1817
zlnd6,3886
034f3714c17a0161f173,0
025df956754d7915a44c,1092
TerraNova,5
LightningLiquidityLounge,14729
02810b1041d47b7a01fc,3
lndus2.zaphq.io,742
03caaf773b73d720a307,964
ChemicalRicky,3
PIRANDESI,96
ridethefreakinglightning,14690
Zerofeeforfun,9
eb10e09262-sphinx,0
Lappsnet,257
SatsFaction,1221
DigiMoney Inc,54
schulzemic [LND],3357
03c788e3cc1f67f219b3,416
03729533776fc0269a7e,42
=ImThorChad,325
Brotherhood of Steel,4367
02a850fb21ff86d7c199,3
R3338,1603
0377158d01ed86d27229,8
LND,29
Antares,139
02c7bc1e5079d21b9678,160
03a4e0a032639b5227c5,0
Poliwhirl,8
Free,160
023fa06d5d2430a0b7cd,3
0249a3b7778f96b0ca44,24
raspiland,9
SebdevBlitz,41
03f6237a9c19d6f90712,2623
⚡ Routing Node 4 ⚡,0
spn,1209
sebastix,994
025abca16cdade6ffc76,0
025713a110233b9e0e74,6
0307858c74521e052590,0
🤖RoboSats⚡,5857
037fa79a0100d8fdd2ed,0
0240fc4f70d68e844daf,4
A3.Financial,588
037808a32be71ce0201e,630
0338dde28a857a7a5828,0
030d75a63198b1f1f2c5,48
0237cb2476f5215f1781,720
Grouch,798
Peredur Pelagius,5
ALND21M,2301
clarence,2222
node.jgs,673
0370579e218d002f7939,3
Galaxy Class LND Node #1701,310
McDouchebag,517
Ivy_Node,8
02068e86daa2b7c61b95,722
030cdc6af0b37c0ecf53,28
One-Love-Bitcoin,6
ln-s1,42
owonode,3634
support@bitclouds.sh,444
023590faff04c43bf363,18
027512dbc5225d2d5135,584
034f86698a9525da7522,5
033d46db7eeb5b1db62c,55
fuckfed,31
JQBTCLN,29
!!!WuWei!!!,22
35870f9fc9-sphinx,0
Nodewa,521
031671ad09b7133aa271,282
akashiya,19
035f99d4bab493f3e9d9,251
0393bf2a16f1d4ed2188,3
paperbitcoin,16
03ea1ad0dce5a8cc7cbc,54
03bda9f56ef286688679,5
LN.SIDESHIFT.AI,11997
TuNeCedeMalis_01,22
main-1,203
037c20dd6ad41f288b44,30
GooseNode,1752
EricHughesinmemoriam,140
033295ae635902bade72,0
nakamoto.sk,1890
letitrain,482
BleedingsLightning,179
03b3a32526f05c45b70d,568
Monks Cress 🌱,2810
Lucky.Dog,11778
VersionNegativeOne,9431
OldSausageSkin,39
023469932667382b7653,4
ln01.bitpie.com,10304
ldk-ln-node.bitcoin.ninja,3444
botman,15
SLIMYWAFFLE,3
YetAnotherNode,206
Monsoon,598
03ae546c4a08383f2eac,3
023d841320a9746914e0,1137
se.Coin,145
026ed0eca921f902ac53,206
Crispus Attucks,707
SneakyLightning,1144
LongBeachIslandNJ[mynode],4414
032e08c7e5a7cf8e67a6,88
Lightning4Ever,39
timsisland,177
BetSand.com,88
dedelus_mynode,0
ZeusLN.app Eleutherios,1366
Red Wheelbarrow,12
02d38b32de5ad1fa4fc9,5549
Moneysocket https://socket.money,3
kurusiunai.com,206
⚡BitcoinDied⚡,744
Trajano,2161
Fast Charge HDN LND,193
Narnia_PrinceCaspian,1951
Lumumba,568
0373a02fde3ecef967f0,0
Casa_Bitcoin,3
025c46df3dd6b3f1023d,80
03f84b4d4de050515ac5,1057
raspi2,26
0294a366471ab97edce4,5
Scaevola,485
02443f0492883486d37a,66
037db9daad1eda4f8997,4068
CuckBuckInferno,3
jinkinoko,623
mochi ha mochi-ya,3
03ac17aa6b720bb06570,89
036f2de114f2e6485343,19
myNode [LND],3
⚡,50
H2O Private Routing,7656
>>> OUTPOST <<<,606
PLEBNET.org-DutchLightning,98
c86bb2b9fd5039a3b0b2,4
Nicole,56
peoplesmoney4freedom,1317
pandanode,23
geehanwho,15
0311483fe79895703bf9,812
02d84fc4b6757ee03c2e,317
02b374e040545f1da1a6,3
Node_of_Satoshi,92
021732c28ff01943d555,131
Raphael,13
coincoin,2493
03353d8496bbbd7d7c6a,1624
039d54acec10e80050ba,0
Staberinde,3484
03261a73165ab96ceaee,5
bitfreezer.app,0
KRYPTOSPHERE OFFICIAL,1626
⚡HansaR⚡,38
CoinBeam,51
03becd4c19770e90c9ff,84
Joe_S_BoltSats,602
BetterThanYours,9
Poes,2447
Brave Island,3
AthenaBitcoin.com,243
bitcoinboi nodl [LND],6
NorthDakotaMainNode,6981
Konsensus Network,3619
023ca3032f5b2c124930,0
zlnd5,3853
base58.casa,964
Denaro Libre,2687
02113eae1137fdeee8ca,2408
Demografik-Node,3007
Olive Derby,3
GandalfTheNode,268
Justdoitalex,547
LBbtcpay,3
SAAR_RASPI4_LND,1739
Node-A-La-Mode,548
0212da247ce24dd8b7db,19
HighVoltage,15690
silent.link,2701
RFnode,239
ComputoErgoSumZeroBaseFee,8733
02a31c10107b56a6f74c,498
the27thMonkey,4067
SatsBlitzOrgel10k,19
034da893f593ebecf841,5
nodl-08b322acf559f00bf0b9eb7d,0
035e3830484f74d86716,103
Aung Kyaw Lin,4
03a355ba15578d326531,3
030fbc8a249f375c7acb,3
023f60fd3aa33321dda4,712
lightningLink,40
03bd2f784cea87b309a3,1184
TomB_Gugg,440
bvh,799
03e7c4c7db659b19998c,3
♥,3396
02c21118553af8276b07,13
solidum argentum,445
spin,278
mvn1,477
spikeandstar,145
Coinster,719
Magrathea,3929
satsophone,2024
03267948c3eec96c42aa,6
e725e3c08d07,0
cryptoconvert.co.za,10
TheAnchorage,215
[Taiwan]Ravencrow,22
Tesla2,50
03273abe63c50f1c5fb0,635
Bjorn,1847
lndhub.de,5794
02bb4ce2a357346441b2,8
0231f73aef9bbdbf69e8,489
RAYO,119
PEEVEDCHEF,630
02cb4eaf945d01f96856,9
Marsdinho,611
03e4d71a94d51c27c7a0,0
DarkLordSalok,610
Laughing Bandit,614
CyberianMine.de,7
tor.fullnode.jp,19
033881b43223870d8024,5
scumm-lnd,715
02d56ea22f4cf28742e6,331
miniblitz⚡,404
THEREDDOT,363
2AZZARITA,32
fixedfloat.com,13348
BitcoinStewy,209
03411edad7966b5f1131,0
santacruzwaves,47
Leetning.com #1 UK,759
girnode1,523
AlexisEnders,898
036d66fe3c0e838220aa,348
036c5ef5a5acd99a9a0a,1108
02b6f69a46496172585e,7
Bar,1261
thaneoflynwood,597
0396e513ef89710a2a55,2380
LightHouse,1275
open a channel | LND,10425
rpi4nodeBTCMainnet,754
0259536c60a5efebce8d,83
elvece,100
THATSDEEP,3
HODLmom,630
nodl-lnd-s007-030,65
wbird.jp,447
02cca3c831de6e3de973,6
02f31cd818d0d1f1eb67,508
03f7794a918a5a4f8b62,9
0335ff8de85b60755d2c,87
Verbinde die Knoten,27
curfew,1333
jhava01-arg,14
03b83404feb66eca08b2,595
cryptoforge.org,1271
03f43a457dd95671d7d8,8
Bekassine_BTC_Node,719
sentinel,85
025479debbeafca668da,1193
steve2z.crypto,618
BABI_LePlusDouxAuMonde,13
02611659509353526b2d,0
039ce732b494de29adc3,40
LN-KMIA-01,73
Dudelmatch,1418
BitcoinWarrior.net,4112
LOUDTRINITY,1021
PLEBNET.org/TheCitadel,47
Satriales,11
02c0199eafc45d6ba64a,15
👾Joltfun.com GameShop🎮,10495
0382035eaf22bee4beec,1865
nicoboke,197
citadel,10
Elbandi.Net,160
BANANABITZ,5518
DanishLightning.dk,948
Kasia_L.,676
horizonlab.xyz,33
wolf,951
Ziege,2892
boxman [LND],17
023f0f447f02b01bcfac,0
🎢ElucNode👾,233
SLIMYPHOTO,936
srv01.ibot3.de,766
029a865ef594cdd9ab47,20
LightningTYFYC,4014
027d3f840a33cdf9a089,661
shualippa,3088
022237e8ba4f97912950,1173
Half full wine jug,5494
0333bcf2064fa5b383fd,1502
028ef0bb8f309e3e07dd,6
noah-btc-node-m-01a,1704
[SkYnoDE],921
02dc10ed3e4059ba59ab,7
duella,4
PotzBlitzPodling,20
03ec9ee6920809c8ca0b,7
Honestly,1149
038f5b2058e1435f24a6,5187
bredex1,605
BlindOwl,233
038e3d2013f0cb70578b,263
BTCNode90210,0
0217ca1da5883e1eadef,215
02b3ac261ebe57f339ff,0
03da650468cf2b7aa2bf,887
WindwardMark⛵️,6291
SatoshiPrime.io,790
NewportEast,0
thumil,104
Gin_Toxic_21,1824
03abc1e4a02342aa76b4,824
BeYourOwnBank,2645
kornpow-store,1282
nodl-s008,293
02d4211fdc457bbfb9ea,440
SNIPER,8049
My Lightning ☇,9
TueThink-2,1253
VIOLENTARK,70
manticoreNode,1482
dolores,0
kevinyc,362
03416119d0bc05347ea0,581
Arceris,3
02714bb49c82f209a6da,484
ASADO,923
Banana_Stand,856
0289a70d255a763a1666,673
TRON,347
halma.mynode.node,3
SterlingBTCNode,793
elghar,5
daoxst1,3
Bierzelt,26
03b5f4b432ce0356d16f,1412
02ad8facc0f9963f8634,6
Qajyuma,419
038c1d90698fd2a0b9ae,5
aqwan,117
026ec16266baad440e55,328
0328a955391f102f215d,39
NayutaHub01,1837
BOB,0
02a8ecd5eddc7e2b0a34,981
payments.society.gg,27
BitDub1878,782
0227f82606e8b7b4195b,434
Chatnet,458
GoonDocks,30
03c5af2c66c15a18df8d,3
standsonrock,2613
038bc6ffcc328f9893cd,0
Lyra,108
03150869b9b1312fde4c,717
dekada,9996
0328fe226ef93c15d4a6,74
TwanziNode,40
ThunderHub⚡,9780
junsikchoi.me,17
Raspiblitch,1703
02a8d15c6611e9742d64,2687
Mowgli34.crypto,1288
My Central Bank,2031
02d27ab897f5f63bcc21,650
Bitcoin is Freedom,80
HitTheNodeJack,215
GreasedLightning@kycjelly.com,225
02bda2d19b670865ad9c,17
LNBIG.com [lnd-13],23324
jbshade,3
rsnode,661
GalaxyTriangulum,1662
highest of low time preferences,162
